review,rating,date,bank,source,processed_review,sentiment_label,sentiment_score,keywords,theme_cluster,themes
"The CBE app has been highly unreliable in recent weeks. It frequently fails to work properly on both Ethio Telecom and Safaricom networks, whether using Wi-Fi or mobile data. This week, the system was down entirely for extended periods, making it very difficult to access banking services. The app only functions intermittently, and the lack of consistency is frustrating. I hope the issues are addressed soon, and that any non-technical influences are removed from such essential services.",2,2025-05-25,Commercial Bank of Ethiopia,Google Play,CBE app highly unreliable recent week frequently fail work properly Ethio Telecom Safaricom network Wi Fi mobile datum week system entirely extended period make difficult access banking service app function intermittently lack consistency frustrating hope issue address soon non technical influence remove essential service,NEGATIVE,0.9993438124656677,"['app', 'work', 'mobile', 'banking']",0,['Cluster_0']
"this new update(Mar 19,2025) is great in fixing bugs, stability and smooth experience I'll give u that but it came with a big shortcoming which is not allowing to take screenshot. I can't screenshot neither my balance nor the transaction or anything within the app, i understand it's for security reasons but please bring that back, allow us to take screenshot we need that. Thanks.",4,2025-03-20,Commercial Bank of Ethiopia,Google Play,new great fix bug stability smooth experience u come big shortcoming allow screenshot screenshot balance transaction app understand security reason bring allow screenshot need thank,NEGATIVE,0.9943870306015015,"['app', 'fix', 'transaction', 'need']",1,['Transaction Issues']
"Good job to the CBE team on this mobile app! It's designed in a way that's simple and intuitive to navigate, which is great for everyone. It effectively handles the essential banking tasks I need to perform regularly. It's a practical and reliable tool that makes everyday banking much more convenient. Thank you for this useful application.",5,2025-04-04,Commercial Bank of Ethiopia,Google Play,good job CBE team mobile app design way simple intuitive navigate great effectively handle essential banking task need perform regularly practical reliable tool make everyday banking convenient thank useful application,POSITIVE,0.9948650002479553,"['app', 'mobile', 'banking', 'need', 'good', 'application']",0,['Positive User Experience']
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,5,2025-05-31,Commercial Bank of Ethiopia,Google Play,app develop good way comment need prevent screenshot likely good like coz need screenshot quick evidence good access recent transaction history day coz Bank person old transaction add colander category user easily access old transaction colander,NEGATIVE,0.9864322543144226,"['app', 'transaction', 'need', 'good', 'like', 'bank', 'user']",1,['Transaction Issues']
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",1,2025-06-04,Commercial Bank of Ethiopia,Google Play,everytime uninstall app reach physically oldy security layer check fraud attempt app source app store play store etc implicitly physical presence app install rare,NEUTRAL,0.5258,['app'],4,['Cluster_4']
as if the update of march 19 i can't take a screenshot in the app. i can just save it as file and that is so annoying. i used to save all screenshot in my gallery in one folder now with the extra steps added i have to save the file go to file and then screenshot it. the solution is to allow the screenshot to be save in to gallery automatically. i wish you give this review attention and resolve the issue shortly.,2,2025-03-19,Commercial Bank of Ethiopia,Google Play,update march screenshot app save file annoying save screenshot gallery folder extra step add save file file screenshot solution allow screenshot save gallery automatically wish review attention resolve issue shortly,NEGATIVE,0.9914551973342896,"['app', 'update']",2,['Cluster_2']
"Old version was very friendly to use. Now we can't see the #Reason The #transaction history (very limited) and now it crash every time it's opened. More over, the last update prevents us from taking #screenshots. Thanks for the developers as they are getting more stupid than ever.",1,2025-03-21,Commercial Bank of Ethiopia,Google Play,old version friendly use Reason transaction history limited crash time open update prevent take screenshot thank developer get stupid,NEGATIVE,0.9989103078842163,"['transaction', 'update', 'use', 'time']",3,['Transaction Issues']
Taking away the screenshot of the receipt is just silly. Worse is tbe download button putting a copy of the screenshot - which you prevented to be taken - in tbe downloads folder where we cant attach directly from Whatsapp. Millions of people use the screenshot as proof of payment / transfer yet you make that harder for everyone? I have every user contacts the developer or manager who made this awful decision.,1,2025-03-20,Commercial Bank of Ethiopia,Google Play,take away screenshot receipt silly bad tbe download button put copy screenshot prevent take tbe download folder not attach directly Whatsapp million people use screenshot proof payment transfer hard user contact developer manager awful decision,NEGATIVE,0.9992597699165344,"['user', 'use', 'transfer']",1,['Transaction Issues']
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",2,2025-05-31,Commercial Bank of Ethiopia,Google Play,recently big problem send safaricom telebir cbebirr wallet anybody responsible fix frustrating day money return take account send mpesa correct send money afraid send,NEGATIVE,0.9961277842521667,"['fix', 'money', 'account']",1,['Cluster_1']
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",4,2025-05-27,Commercial Bank of Ethiopia,Google Play,app year problem stop work month ago try transfer fund give error transaction inactive account,NEGATIVE,0.9966408014297485,"['app', 'work', 'transaction', 'transfer', 'account']",1,['Transaction Issues']
