bank,rating,mean_sentiment,std_sentiment,review_count
Bank of Abyssinia,1,0.8695621467167723,0.21490447168095422,255
Bank of Abyssinia,2,0.8040596292923238,0.23602625172873193,29
Bank of Abyssinia,3,0.8195839078479343,0.23016772359081392,36
Bank of Abyssinia,4,0.9156280905008316,0.16845963470975925,12
Bank of Abyssinia,5,0.9008239596843719,0.17828766489681494,68
Commercial Bank of Ethiopia,1,0.9103474628277123,0.17829532224228442,128
Commercial Bank of Ethiopia,2,0.879743151254654,0.20363293361996324,40
Commercial Bank of Ethiopia,3,0.8832512447326902,0.19984756689481478,63
Commercial Bank of Ethiopia,4,0.8966796523256999,0.16672984280116876,82
Commercial Bank of Ethiopia,5,0.8980446898131534,0.16903494952637574,87
Dashen Bank,1,0.8273633954655041,0.23064412554077982,33
Dashen Bank,2,0.7545425011740791,0.24802829452725625,18
Dashen Bank,3,0.8282818645238876,0.21059251974531906,12
Dashen Bank,4,0.8210515751981735,0.22706926521709148,20
Dashen Bank,5,0.8852771860276597,0.1981593101912036,316
